degree=1, radian=0.017453, cos=0.999848:0.999848, sin=0.017453:0.017452, cos_error=0.000000%, sin_error=0.000707%
degree=2, radian=0.034907, cos=0.999391:0.999391, sin=0.034898:0.034899, cos_error=0.000005%, sin_error=0.003597%
degree=3, radian=0.052360, cos=0.998630:0.998630, sin=0.052335:0.052336, cos_error=0.000004%, sin_error=0.001375%
degree=4, radian=0.069813, cos=0.997564:0.997564, sin=0.069758:0.069756, cos_error=0.000012%, sin_error=0.002421%
degree=5, radian=0.087266, cos=0.996195:0.996195, sin=0.087154:0.087156, cos_error=0.000012%, sin_error=0.001546%
degree=6, radian=0.104720, cos=0.994522:0.994522, sin=0.104530:0.104528, cos_error=0.000011%, sin_error=0.001035%
degree=7, radian=0.122173, cos=0.992546:0.992546, sin=0.121871:0.121869, cos_error=0.000020%, sin_error=0.001323%
degree=8, radian=0.139626, cos=0.990268:0.990268, sin=0.139175:0.139173, cos_error=0.000027%, sin_error=0.001354%
degree=9, radian=0.157080, cos=0.987688:0.987688, sin=0.156435:0.156434, cos_error=0.000009%, sin_error=0.000335%
degree=10, radian=0.174533, cos=0.984808:0.984808, sin=0.173649:0.173648, cos_error=0.000019%, sin_error=0.000604%
degree=11, radian=0.191986, cos=0.981627:0.981627, sin=0.190809:0.190809, cos_error=0.000006%, sin_error=0.000158%
degree=12, radian=0.209440, cos=0.978147:0.978148, sin=0.207912:0.207912, cos_error=0.000012%, sin_error=0.000266%
degree=13, radian=0.226893, cos=0.974370:0.974370, sin=0.224950:0.224951, cos_error=0.000019%, sin_error=0.000350%
degree=14, radian=0.244346, cos=0.970296:0.970296, sin=0.241922:0.241922, cos_error=0.000007%, sin_error=0.000111%
degree=15, radian=0.261799, cos=0.965926:0.965926, sin=0.258817:0.258819, cos_error=0.000044%, sin_error=0.000615%
degree=16, radian=0.279253, cos=0.961262:0.961262, sin=0.275636:0.275637, cos_error=0.000039%, sin_error=0.000477%
degree=17, radian=0.296706, cos=0.956305:0.956305, sin=0.292371:0.292372, cos_error=0.000026%, sin_error=0.000273%
degree=18, radian=0.314159, cos=0.951056:0.951057, sin=0.309019:0.309017, cos_error=0.000052%, sin_error=0.000495%
degree=19, radian=0.331613, cos=0.945518:0.945519, sin=0.325569:0.325568, cos_error=0.000043%, sin_error=0.000358%
degree=20, radian=0.349066, cos=0.939692:0.939693, sin=0.342022:0.342020, cos_error=0.000055%, sin_error=0.000413%
degree=21, radian=0.366519, cos=0.933580:0.933580, sin=0.358368:0.358368, cos_error=0.000005%, sin_error=0.000033%
degree=22, radian=0.383972, cos=0.927184:0.927184, sin=0.374607:0.374607, cos_error=0.000027%, sin_error=0.000166%
degree=23, radian=0.401426, cos=0.920505:0.920505, sin=0.390730:0.390731, cos_error=0.000030%, sin_error=0.000165%
degree=24, radian=0.418879, cos=0.913546:0.913545, sin=0.406736:0.406737, cos_error=0.000007%, sin_error=0.000037%
degree=25, radian=0.436332, cos=0.906308:0.906308, sin=0.422617:0.422618, cos_error=0.000073%, sin_error=0.000337%
degree=26, radian=0.453786, cos=0.898794:0.898794, sin=0.438371:0.438371, cos_error=0.000032%, sin_error=0.000135%
degree=27, radian=0.471239, cos=0.891006:0.891007, sin=0.453992:0.453990, cos_error=0.000091%, sin_error=0.000349%
degree=28, radian=0.488692, cos=0.882948:0.882948, sin=0.469470:0.469472, cos_error=0.000080%, sin_error=0.000282%
degree=29, radian=0.506145, cos=0.874620:0.874620, sin=0.484809:0.484810, cos_error=0.000068%, sin_error=0.000220%
degree=30, radian=0.523599, cos=0.866025:0.866025, sin=0.500001:0.500000, cos_error=0.000070%, sin_error=0.000211%
